Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
3-Jan-12,77.56962398373983,0.971439674,0.376,4.2893,7.615714444020162,1.8485,1.2925,1.009,518.2,6.312786693548388,1942.7,19.728,5.7138,0.768403258,242.16,121.98,53.23,9160.0,11181.0,3.814,79.78766129032257,148.4,1155.5,0.27815,1.9324,3.1525,29.3454,13.6882,85.19,1.2350300939798389,5.9436,0.3845,90.0587,2.695,43.75,3.4277,3.64,31.05616244897959,3.75,1.2925,8.0426,113.8998,6.7764088709677415,0.9334,31.08592701612904,6.402818951612904,1.4987,3.6725,0.640573954,1,19.7
4-Jan-12,77.56962398373983,0.965903603,0.376,4.2893,7.490636704,1.8304,1.2874,1.0135,514.34,6.3001,1915.02,19.893,5.743,0.772320049,245.0,122.01,53.14,9180.0,11180.0,3.847,76.66,148.4,1150.9,0.2778,1.9324,3.1393,29.2839,13.7144,85.15,1.26486213,5.9473,0.3845,90.1504,2.696,43.758,3.432,3.64,31.05616244897959,3.75,1.2874,8.1072,113.9,6.8152,0.9384,31.463,6.4062,1.4942,3.6725,0.641190049,1,19.689
5-Jan-12,77.56962398373983,0.968710646,0.376,4.2893,7.530120482,1.8432,1.2883,1.0197,512.23,6.3115,1898.24,20.191,5.7949,0.779301746,250.28,123.22,52.78,9163.0,11180.0,3.854,76.73,148.23,1147.4,0.27825,1.9324,3.1395,29.274,13.7409,84.9,1.26984127,5.987,0.3845,90.3836,2.694,43.755,3.5081,3.64,31.05616244897959,3.75,1.2883,8.1944,113.9,6.8493,0.9492,31.557,6.3886,1.4951,3.6725,0.644329897,1,19.707
6-Jan-12,76.3243,0.97837785,0.376,4.2893,7.530120482,1.8416,1.2923,1.0232,511.8,6.3166,1884.44,20.232,5.8195,0.782717595,247.05,123.61,52.78,9160.0,11180.0,3.839,77.19,148.08,1150.3,0.27825,1.9324,3.1505,29.3709,13.7228,84.49,1.280901755,6.007,0.3845,90.5767,2.693,43.921,3.5081,3.64,31.05616244897959,3.75,1.2923,8.16315,113.8998,6.8493,0.9516,31.637,6.3994,1.5046,3.6725,0.645244548,1,19.707
9-Jan-12,76.5183,0.983284169,0.376,4.2893,7.530120482,1.8442,1.2994,1.0272,509.54,6.3236,1884.47,20.284,5.8419,0.78566939,245.73,123.71,52.73,9188.0,11244.0,3.839,77.19,148.29,1158.4,0.27935,1.9324,3.161,29.4965,13.7437,84.35,1.282051282,6.0159,0.3845,90.8957,2.692,44.134,3.515,3.64,32.1961,3.75,1.2994,8.16475,113.9,6.9227,0.952,31.793,6.3931,1.5145,3.6725,0.64758451,1,19.65
10-Jan-12,76.3955,0.969838037,0.376,4.2893,7.48502994,1.8442,1.2912,1.0164,512.4,6.3171,1884.47,20.131,5.8054,0.780762024,245.52,123.72,52.23,9190.0,11240.0,3.833,76.87,148.54,1164.3,0.27895,1.9324,3.14,29.5511,13.6204,84.05,1.270325203,5.9771,0.3845,90.4202,2.691,44.246,3.5083,3.64,31.8729,3.75,1.2912,8.08605,113.9,6.9122,0.9498,31.708,6.3881,1.5197,3.6725,0.646746863,1,19.593
11-Jan-12,76.6448,0.972384286,0.376,4.2893,7.524454477,1.8042,1.2925,1.0192,508.76,6.3155,1865.07,20.315,5.8471,0.786287152,243.23,124.24,51.75,9200.0,11252.0,3.849,76.92,148.59,1158.7,0.2791,1.9324,3.146,29.5658,13.6592,83.45,1.259445844,6.0155,0.3845,89.998,2.693,43.978,3.4919,3.64,31.6886,3.75,1.2925,8.1372,113.9,6.8987,0.9549,31.73,6.4038,1.5169,3.6725,0.649899266,1,19.562
12-Jan-12,76.4878,0.971250971,0.376,4.2893,7.473841555,1.8048,1.2928,1.0198,506.91,6.323,1854.17,20.084,5.839,0.785175879,243.33,124.54,51.83,9210.0,11262.0,3.836,76.91,148.4,1159.4,0.2793,1.9324,3.142,29.5436,13.5982,82.65,1.254705144,6.0278,0.3845,90.1121,2.691,44.006,3.4945,3.64,31.6807,3.75,1.2928,8.0288,113.8984,6.9391,0.9488,31.833,6.4188,1.5242,3.6725,0.65142336,1,19.587
13-Jan-12,76.495,0.968992248,0.376,4.2893,7.473841555,1.7874,1.2882,1.0245,501.47,6.3201,1842.47,19.919,5.823,0.783024039,241.04,124.58,51.43,9180.0,11262.0,3.83,76.79,148.52,1158.8,0.2793,1.9324,3.134,29.5323,13.6263,82.91,1.258653241,6.0238,0.3845,90.2692,2.693,44.023,3.4323,3.64,31.583,3.75,1.2882,8.0476,113.9,6.9137,0.9467,31.775,6.4233,1.5274,3.6725,0.652400835,1,19.6
17-Jan-12,76.6668,0.963669654,0.376,4.2893,7.462686567,1.7836,1.2862,1.0132,500.99,6.325,1841.31,20.053,5.8134,0.781860829,243.04,124.76,51.07,9208.0,11290.0,3.834,76.83,148.36,1154.0,0.2792,1.9324,3.1315,29.5602,13.4621,82.44,1.260080645,5.9918,0.3845,90.3786,2.693,43.919,3.4215,3.64,31.5445,3.75,1.2862,8.0168,113.8987,6.9329,0.947,31.834,6.3729,1.5333,3.6725,0.650533437,1,19.6
